show_id,type_show,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description_show
1,movie,Dick Johnson Is Dead,Kirsten Johnson,Indefinido,United States,2021-09-25,2020,PG-13,90 minutes,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
10,movie,Keymon and Nani in Space Adventure,Theodore Melfi,Indefinido,Indefinido,2021-04-20,2013,TV-Y,76 minutes,"Children & Family Movies, Comedies","For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!"
100,movie,Roohi,Indefinido,"Janhvi Kapoor,Manav Vij,Rajkummar Rao,Sarita Joshi,Varun Sharma",India,2021-04-09,2021,TV-14,133 minutes,"Comedies, Horror Movies, International Movies","Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her."
1000,movie,The Binding,Joe Penna,"Mía Maestro,Riccardo Scamarcio",Italy,2020-10-02,2020,TV-MA,93 minutes,"Horror Movies, International Movies, Thrillers","While visiting her fiancés mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
1001,movie,Intrusion,Ahishor Solomon,"Freida Pinto,Logan Marshall-Green,Megan Elisabeth Kelly,Robert John Burke,Sarah Minnich",Indefinido,2021-09-22,2021,TV-14,94 minutes,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
1002,TV series,Bread Barbershop,Curtis Graham,"Hong Bum-ki,Kang Shi-hyun,Kim Hyun-wook,Park Yoon-hee,Um Sang-hyun",Indefinido,2021-08-28,2020,TV-Y,2 seasons,"Kids TV, TV Comedies","In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
1003,movie,Turkish Dance School,Gerardo Gatica,"Binnur Kaya,Bora Cengiz,Demet Özdemir,Okan Çabalar,Uraz Kaygılaroğlu",Turkey,2020-10-02,2017,TV-MA,107 minutes,"Comedies, International Movies, Romantic Movies",A woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance.
1004,movie,Vampires vs. the Bronx,Indefinido,"Gerald W. Jones III,Gregory Diaz IV,Jaden Michael,Method Man,Sarah Gadon",United States,2020-10-02,2020,PG-13,86 minutes,"Comedies, Horror Movies",Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.
1005,movie,Youve Got This,Indefinido,"Esmeralda Pimentel,Juan Martín Jauregui,Matteo Giannini,Mauricio Ochmann,Regina Reynoso",Mexico,2020-10-02,2020,TV-MA,112 minutes,"Comedies, International Movies, Romantic Movies",An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.
1006,movie,All Because of You,Indefinido,"Amerul Affendi,Hairul Azreen,Henley Hii,Janna Nick,Nam Ron",Malaysia,2020-10-01,2020,TV-PG,102 minutes,"Action & Adventure, Comedies, International Movies","After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place."
1007,movie,An Ordinary Man,Suhas Kadav,"Ben Kingsley,Hera Hilmar,Peter Serafinowicz","Serbia, United States",2020-10-01,2017,R,91 minutes,"Dramas, Thrillers","A war criminal in hiding begins to suspect that the maid, his only confidant and contact with the outside world, may be hiding something herself."
1008,movie,Carlos Almaraz: Playing with Fire,Suhas Kadav,"Edward James Olmos,Zach De La Rocha",United States,2020-10-01,2019,TV-14,83 minutes,"Documentaries, LGBTQ Movies","Mixing archival footage with interviews, this film celebrates one of Los Angeless most influential painters and Chicano art activists from the 1970s."
1009,movie,Cold Harbour,Suhas Kadav,"Deon Lotz,Fana Mokoena,Thomas Gumede,Tony Kgoroge,Yu Nan",South Africa,2020-10-01,2013,TV-MA,73 minutes,"Action & Adventure, Dramas, International Movies","When a war breaks out between competing gangs of smugglers in Cape Town, South Africa, an honest cop is pressured to work for a powerful crime lord."
101,movie,Thunder Force,Indefinido,"Bobby Cannavale,Jason Bateman,Melissa McCarthy,Octavia Spencer,Pom Klementieff",United States,2021-04-09,2021,PG-13,107 minutes,"Action & Adventure, Comedies",Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.
1010,TV series,Evil,"Akshay Sanjeev Chavan, Sumit Das","Aasif Mandvi,Christine Lahti,Katja Herbers,Michael Emerson,Mike Colter",United States,2020-10-01,2019,TV-14,1 seasons,TV Dramas,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.
