id_cast,cast_names,fk_id_show_catalog,fk_id_actor
1,Indefinido,254,1
2,Indefinido,253,1
3,Indefinido,231,1
4,Indefinido,221,1
5,Indefinido,206,1
6,Indefinido,202,1
7,Indefinido,194,1
8,Indefinido,192,1
9,Indefinido,183,1
10,Indefinido,176,1
11,Indefinido,166,1
12,Indefinido,163,1
13,Indefinido,141,1
14,Indefinido,134,1
15,Indefinido,133,1
16,Indefinido,125,1
17,Indefinido,113,1
18,Indefinido,111,1
19,Indefinido,109,1
20,Indefinido,108,1
21,Indefinido,107,1
22,Indefinido,90,1
23,Indefinido,89,1
24,Indefinido,88,1
25,Indefinido,87,1
26,Indefinido,82,1
27,Indefinido,79,1
28,Indefinido,72,1
29,Indefinido,71,1
30,Indefinido,66,1
31,Indefinido,46,1
32,Indefinido,36,1
33,Indefinido,25,1
34,Indefinido,17,1
35,Indefinido,10,1
36,Indefinido,1,1
37,Daveed Diggs,2,7
38,Timothy Olyphant,2,8
39,Kevin Kline,2,9
40,Chris ODowd,2,10
41,Melissa McCarthy,101,11
42,Melissa McCarthy,2,11
43,Mathieu Demy,3,15
44,Alexia Landeau,3,16
45,Sarah Jones,3,17
46,Elisabeth Shue,3,18
47,Julie Delpy,3,19
48,Shamier Anderson,4,20
49,Daniel Dae Kim,4,21
50,Toni Collette,4,22
51,Anna Kendrick,4,23
52,Bilal Hussain,5,26
53,Atul Kulakarni,5,27
54,Saiyami Kher,5,28
55,Dia Mirza,5,29
56,Nagarjuna Akkineni,5,30
57,Ifeanyi Williams,6,34
58,Taiwo Ajai-Lycett,6,35
59,William R. Moses,6,36
60,Richard Mofe-Damijo,123,37
61,Richard Mofe-Damijo,6,37
62,Olu Jacobs,6,38
63,Gabriel Nuncio,7,42
64,José Carlos Ruiz,7,43
65,Verónica Castro,7,44
66,Ximena Romo,7,45
67,Jesús Zavala,7,46
68,Daniela Scattolin,8,49
69,Dylan Magon,8,50
70,Beatrice Grannò,8,51
71,Haroun Fall,8,52
72,Giuseppe Dave Seke,8,53
73,Tim Bee,9,54
74,Ali Bee,9,55
75,Izzy Bee,9,56
76,Anil Datt,11,57
77,Mayur Vyas,84,58
78,Mayur Vyas,12,58
79,Mayur Vyas,11,58
80,Sourav Chakraborty,13,59
81,Sourav Chakraborty,12,59
82,Sourav Chakraborty,11,59
83,Dishi Duggal,12,61
84,Mahendra Bhatnagar,12,62
85,Vidit Kumar,12,63
86,Anil Dutt,13,64
87,Jesse Inocalla,14,69
88,Anna Cummer,14,70
89,Cole Howard,14,71
90,Travis Turner,14,72
91,Austin Abell,14,73
92,Bhakti Shalini,15,79
93,Mukesh Pandey,16,80
94,Mukesh Pandey,15,80
95,Rohan,16,81
96,Rohan,15,81
97,Vinod Kulkarni,15,82
98,Shailendra Pandey,16,83
99,Shailendra Pandey,15,83
100,Shalini,16,85
101,Bhakti,16,86
102,Izan Llunas,18,92
103,Óscar Jaenada,18,93
104,Camila Sodi,18,94
105,Juan Pablo Zurita,18,95
106,Diego Boneta,18,96
107,Raoul Bhaneja,19,102
108,Michael Stuhlbarg,19,103
109,Gugu Mbatha-Raw,19,104
110,Mark Strong,19,105
111,Jessica Chastain,175,106
112,Jessica Chastain,43,106
113,Jessica Chastain,34,106
114,Jessica Chastain,19,106
115,Addison Holley,20,107
116,Kyle Breitkopf,20,108
117,Jacob Ewaniuk,20,109
118,Evelina Fernandez,21,115
119,Danny De La Paz,21,116
120,Pepe Serna,21,117
121,William Forsythe,21,118
122,Edward James Olmos,65,119
123,Edward James Olmos,21,119
124,Shenaz Treasury,22,123
125,Poorna Jagannathan,22,124
126,Kunaal Roy Kapur,22,125
127,Vir Das,22,126
128,Imran Khan,24,127
129,Imran Khan,22,127
130,Aasha Pawar,23,133
131,Prateik Babbar,24,134
132,Prateik Babbar,23,134
133,Kriti Malhotra,23,135
134,Monica Dogra,23,136
135,Aamir Khan,131,137
136,Aamir Khan,29,137
137,Aamir Khan,27,137
138,Aamir Khan,26,137
139,Aamir Khan,23,137
140,Ayaz Khan,24,141
141,Manjari Fadnis,24,142
142,Genelia DSouza,24,143
143,Raghuvir Yadav,187,148
144,Raghuvir Yadav,28,148
145,Kulbhushan Kharbanda,26,149
146,Paul Blackthorne,26,150
147,Rachel Shelley,26,151
148,Gracy Singh,26,152
149,Ashutosh Gowariker,27,153
150,Aamir Bashir,213,155
151,Shalini Vatsa,213,157
152,Naseeruddin Shah,28,159
153,Nawazuddin Siddiqui,28,160
154,Malaika Shenoy,28,161
155,Omkar Das Manikpuri,28,162
156,Vipin Sharma,191,165
157,Vipin Sharma,29,165
158,Tisca Chopra,29,166
159,Tanay Chheda,29,167
160,Darsheel Safary,29,168
161,Manav Kaul,161,169
162,Manav Kaul,140,169
163,Aditi Rao Hydari,161,171
164,Abhishek Banerjee,30,174
165,Nushrat Bharucha,30,175
166,Armaan Ralhan,30,176
167,Jaideep Ahlawat,30,177
168,Fatima Sana Shaikh,30,178
169,Tony Hale,31,184
170,Jonathan Van Ness,31,185
171,Brett Gelman,31,186
172,Mary Lambert,31,187
173,Michael J. Woodard,31,188
174,Sharjil Rasool,32,194
175,Jaimee Joe Gonzaga,32,195
176,Deven Christian Mack,32,196
177,Margarita Valderrama,32,197
178,Jonah Wineberg,32,198
179,Greg Chun,57,203
180,Lisa Fuson,33,204
181,Cassandra Morris,33,205
182,Kirsten Day,33,206
183,Cassidy Naber,33,207
184,America Young,33,208
185,Jim Beaver,34,214
186,Charlie Hunnam,34,215
187,Tom Hiddleston,34,216
188,Mia Wasikowska,34,217
189,Jonathan Kite,67,219
190,Porscha Coleman,67,220
191,Kyla-Drew,67,221
192,David Alan Grier,67,222
193,David Alan Grier,35,222
194,Jamie Foxx,67,223
195,Jamie Foxx,35,223
196,Fortune Feimster,35,224
197,London Hughes,35,225
198,David Spade,35,226
199,Stephanie Okereke,37,231
200,Genevieve Nnaji,37,232
201,Jimmy Jean-Louis,37,233
202,Vivica A. Fox,37,234
203,Isaiah Washington,37,235
204,Dominic Ochoa,38,241
205,Belle Mariano,38,242
206,Gillian Vicencio,38,243
207,Charlie Dizon,38,244
208,Alexa Ilacad,38,245
209,Julius Nitschkoff,39,251
210,Helen Schneider,39,252
211,Trystan Pütter,39,253
212,Yalany Marschner,39,254
213,Alexandra Pfeifer,39,255
214,Ju Wu-jae,40,256
215,Kwak Jung-eun,40,257
216,Han Hye-jin,40,258
217,Kim Sook,40,259
218,Seo Jang-hoon,40,260
219,Pierfrancesco Favino,41,266
220,Alexandra Maria Lara,41,267
221,Olivia Wilde,41,268
222,Daniel Brühl,43,269
223,Daniel Brühl,41,269
224,Chris Hemsworth,41,270
225,Ramiz Monsef,42,272
226,Ally Ioannides,42,273
227,Katie Aselton,42,274
228,Jamie Dornan,42,275
229,Anthony Mackie,42,276
230,Efrat Dor,43,282
231,Timothy Radford,43,283
232,Johan Heldenbergh,43,284
233,Olivia Draguicevich,44,290
234,Reiley McClendon,44,291
