id_director,director_name
1,Kirsten Johnson
2,Theodore Melfi
3,Indefinido
4,Joe Penna
5,Ahishor Solomon
6,Curtis Graham
7,Gerardo Gatica
8,Suhas Kadav
9,"Akshay Sanjeev Chavan, Sumit Das"
10,John Madden
11,Edward James Olmos
12,Abhinay Deo
13,Kiran Rao
14,Abbas Tyrewala
15,"Chapman Way, Maclain Way"
16,Ashutosh Gowariker
17,Satyajit Bhatkal
18,"Anusha Rizvi, Mahmood Farooqui"
19,Aamir Khan
20,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani"
21,Ryan Crego
22,Cassi Simonds
23,Guillermo del Toro
24,Jason Hehir
25,Tony Abulu
26,Mae Czarina Cruz
27,Stefan Westerwelle
28,Ron Howard
29,"Justin Benson, Aaron Moorhead"
30,Niki Caro
31,"Mark Dennis, Ben Foster"
32,Taranveer Singh
33,Yemi Amodu
34,TT The Artist
35,"Keiichi Sato, Yasushi Kawamura"
36,Glenn Weiss
37,Michael Civille
38,Ryuichi Hiroki
39,Paul Thomas Anderson
40,One9
41,Adriano Rudiman
42,Luis Valdez
43,Lijo Jose Pellissery
44,Cheng Wei-hao
45,Pass Patthanakumjon
46,Buchi Babu Sana
47,Fredrick Munk
48,"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon"
49,David de Vos
50,Zhao Ji
51,Jamie Babbit
52,Park Hoon-jung
53,Dare Olaitan
54,Hardik Mehta
55,Ben Falcone
56,"Travon Free, Martin Desmond Roe"
57,Angga Dwimas Sasongko
58,Steve Rolston
59,Shalini Kantayya
60,Madonne Ashwin
61,Enah Johnscott
62,Braden R. Duemmler
63,Cal Brunker
64,Steve Pink
65,Xiao Feng
66,Vince Marcello
67,Ricky Staub
68,"Patrick Durham, Paul G. Volk"
69,BB Sasore
70,Naseef Yusuf Izuddin
71,"Luis Alfaro, Javier Gómez Santander"
72,"Appie Boudellah, Aram van de Rest"
73,Sylvie Verheyde
74,Nick Moore
75,Alex Zamm
76,Roland Emmerich
77,Rajkumar Hirani
78,Rajesh Mapuskar
79,Lina Al Abed
80,James Wan
81,David Hackl
82,Takeshi Nozue
83,Robert Luketic
84,Subhash Kapoor
85,Ringo Lam
86,George Cukor
87,Tony Giglio
88,Sara Colangelo
89,Hidenori Inoue
90,Don Michael Paul
91,"Shinji Aramaki, Masaru Matsumoto"
92,John Luessenhop
93,"Hanung Bramantyo, Pandu Adjisurya"
94,Bashir El Deek
95,Roman Polański
96,Stephen Herek
97,Nelson McCormick
98,Mic Rodgers
99,Bejoy Nambiar
100,Shawn Rech
101,Peyton Reed
102,Julian Schnabel
103,Adrián García Bogliano
104,Jose Gomez
105,Rahul Rawail
106,Jonathon Link
107,Blair Simmons
108,Justin Chadwick
109,John Hillcoat
110,Nadine Ibrahim
111,Roman White
112,Jane Campion
113,Fermín Muguruza
114,Mike Hodges
115,Eylem Kaftan
116,Fernando Ayllón
117,Umesh Bist
118,Massimiliano Camaiti
119,Nagesh Kukunoor
120,Aleksey Tsitsilin
121,Ali Tabrizi
122,Kagiso Lediga
123,Jung-ah Im
124,Stephen Frears
125,Takuma Sato
126,Brody Chu
127,Dimitri Logothetis
128,Luke Holland
129,Taketoshi Sado
130,Li Weiran
131,Chinaza Onuzo
132,Anna Elizabeth James
133,Vitor Brandt
134,Shanker Raman
135,Troy Miller
136,Liam ODonnell
137,"Manny Rodriguez, Jay Lavender"
138,Farah Nabulsi
139,Walter Taylaur
140,Chris Smith
141,Alain Brunard
142,Tate Taylor
143,Ladislaus Kiraly
144,Kongkiat Komesiri
145,JP Habac
146,Oliver Stone
147,Hemambar Jasti
148,Steven Spielberg
149,Taylor Morden
150,Helena Coan
151,Muharrem Gülmez
152,Dolapo Adeleke
153,Mahsun Kırmızıgül
154,Can Ulkay
155,Luis Alejandro Pérez
156,Ketche
157,Erol Özlevi
158,Miguel Arteta
159,Tolga Örnek
160,Pablo Agüero
161,Mohammad Irfan Ramly
162,"Kevin McManus, Matthew McManus"
163,"Ange Basterga, Nicolas Lopez"
164,Gitanjali Rao
165,Halitha Shameem
166,Carlos Moreno
167,Kayode Kasum
168,Maribel Sánchez-Maroto
169,Julien Leclercq
170,Fajar Bustomi
171,Taylor Hackford
172,Lasse Hallström
173,Amy Poehler
174,"Jared Hess, Tyler Measom"
175,Mike Binder
176,Abir Sengupta
177,Sunny Lau
178,Emmett Malloy
179,"Xavier Maingon, Marc-Antoine Hélard"
180,Milton Kremer
181,Kevin Costner
182,Marco Petry
183,"Andrew Duncan, Ken Cunningham"
184,Barry Levinson
185,Liam Lynch
186,"Jérémie Degruson, Ben Stassen"
187,Matt Ross
188,Dani de la Orden
189,Pablo Larraín
190,John Erick Dowdle
191,Jesse Peretz
192,Ribhu Dasgupta
193,Baran bo Odar
194,Vidhu Vinod Chopra
195,Rizki Balki
196,Shunsuke Kariyama
197,Jeferson De
198,Mark Rosman
199,Barry Avrich
200,"David Tryhorn, Ben Nicholas"
201,Tirumala Kishore
202,Huang Hsin-Yao
203,Chris Weitz
204,Gilles Paquet-Brenner
205,Saron Sakina
206,J Blakeson
207,Khalid Rahman
208,Luis Ara
209,"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy"
210,Prateek Vats
211,Alex Merkin
212,Christian Schwochow
213,Ian Cheney
214,Ben Simms
215,Vikram Bhatt
216,Dallas Jenkins
217,Scott Pleydell-Pearce
218,Damián Romay
219,Hamisha Daryani Ahuja
220,Hong Khaou
221,Mario Briongos
222,Vinay Bharadwaj
223,Michael Fimognari
224,Ridley Scott
225,Eric D. Cabello Díaz
226,Clara Martínez-Lázaro
227,Monty Tiwa
228,Ava DuVernay
229,Alain Darborg
230,Filip Zylber
231,Joe Berlinger
