id_show_catalog,title_show,rating,listed_in,duration,duration_type_id
1,Dick Johnson Is Dead,PG-13,Documentaries,90,1
2,The Starling,PG-13,"Comedies, Dramas",104,1
3,On the Verge,TV-MA,"TV Comedies, TV Dramas",1,2
4,Stowaway,TV-MA,"Dramas, International Movies, Thrillers",116,1
5,Wild Dog,TV-MA,"Action & Adventure, International Movies",126,1
6,Oloibiri,TV-14,"Dramas, International Movies, Thrillers",86,1
7,Tell Me When,TV-MA,"Comedies, International Movies",97,1
8,Zero,TV-MA,"International TV Shows, TV Comedies, TV Dramas",1,2
9,Izzys Koala World,TV-Y,Kids TV,2,2
10,Keymon and Nani in Space Adventure,TV-Y,"Children & Family Movies, Comedies",76,1
11,Motu Patlu Dino Invasion,TV-Y7,"Children & Family Movies, Comedies",80,1
12,Motu Patlu in Octupus World,TV-Y,"Children & Family Movies, Comedies",81,1
13,Motu Patlu VS Robo Kids,TV-Y,Children & Family Movies,84,1
14,Tobot Galaxy Detectives,TV-Y7,Kids TV,2,2
15,Rudra: Secret of the Black Moon,TV-Y7,Children & Family Movies,87,1
16,Rudra: The Rise of King Pharaoh,TV-Y7,Children & Family Movies,91,1
17,Free to Play,TV-14,Documentaries,76,1
18,Luis Miguel - The Series,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2,2
19,Miss Sloane,R,Thrillers,132,1
20,PJ Masks,TV-Y,Kids TV,3,2
21,American Me,R,Dramas,126,1
22,Delhi Belly,TV-MA,"Action & Adventure, Comedies, International Movies",101,1
23,Dhobi Ghat (Mumbai Diaries),TV-MA,"Dramas, International Movies",102,1
24,Jaane Tu... Ya Jaane Na,TV-14,"Comedies, International Movies, Music & Musicals",147,1
25,Untold: Breaking Point,TV-MA,"Documentaries, Sports Movies",80,1
26,Lagaan,PG,"Dramas, International Movies, Music & Musicals",224,1
27,Madness in the Desert,TV-14,"Documentaries, International Movies",141,1
28,Peepli Live,TV-MA,"Comedies, Dramas, Independent Movies",109,1
29,Taare Zameen Par,PG,"Dramas, International Movies",162,1
30,Ajeeb Daastaans,TV-MA,"Dramas, Independent Movies, International Movies",142,1
31,Arlo the Alligator Boy,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",93,1
32,Bakugan: Geogan Rising,TV-Y7,"Anime Series, Kids TV",1,2
33,Barbie & Chelsea: The Lost Birthday,TV-Y,Children & Family Movies,60,1
34,Crimson Peak,R,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",119,1
35,Dad Stop Embarrassing Me - The Afterparty,TV-14,Comedies,37,1
36,Countdown: Inspiration4 Mission to Space,TV-14,"Docuseries, Science & Nature TV",1,2
37,Doctor Bello,TV-MA,"Dramas, International Movies",96,1
38,Four Sisters Before the Wedding,TV-MA,"Children & Family Movies, Comedies, Dramas",116,1
39,Into the Beat,TV-14,"Dramas, International Movies, Romantic Movies",102,1
40,Love Naggers,TV-14,"International TV Shows, Stand-Up Comedy & Talk Shows",1,2
41,Rush,R,"Action & Adventure, Dramas, International Movies",123,1
42,Synchronic,R,Thrillers,102,1
43,The Zookeepers Wife,PG-13,Dramas,127,1
44,Time Trap,TV-14,"Action & Adventure, Sci-Fi & Fantasy",88,1
45,Tuesdays & Fridays,TV-14,"Comedies, Dramas, International Movies",106,1
46,Dancing Angels,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies",1,2
47,Shadow Parties,TV-MA,"Dramas, International Movies, Thrillers",117,1
48,Dark City Beneath the Beat,TV-MA,"Documentaries, Music & Musicals",65,1
49,Durarara!!,TV-MA,"Anime Series, Crime TV Shows, International TV Shows",1,2
50,GANTZ:O,TV-MA,"Action & Adventure, Anime Features, Horror Movies",96,1
51,Garth Brooks: The Road I’m On,TV-PG,Docuseries,1,2
52,Gilmore Girls,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas",7,2
53,High-Rise Invasion,TV-MA,"Anime Series, International TV Shows, TV Thrillers",1,2
54,Next in Fashion,TV-14,Reality TV,1,2
55,Only Mine,TV-14,Thrillers,88,1
56,Peasants Rebellion,TV-14,"International TV Shows, TV Dramas",1,2
57,Power Players,TV-Y,Kids TV,3,2
58,Tayo the Little Bus,TV-Y,"Kids TV, Korean TV Shows",2,2
59,Ricky Zoom,TV-Y,"British TV Shows, Kids TV",1,2
60,Ride or Die,TV-MA,"Dramas, International Movies, LGBTQ Movies",143,1
61,Sonic X,TV-Y7,"Anime Series, Kids TV",2,2
62,The Master,R,"Dramas, Independent Movies",137,1
63,Time Is Illmatic,TV-MA,"Documentaries, Music & Musicals",75,1
64,Wave of Cinema: One Day Well Talk About Today,TV-14,"Documentaries, International Movies, Music & Musicals",71,1
65,Zoot Suit,R,"Cult Movies, Dramas, Music & Musicals",103,1
66,Ajaibnya Cinta,TV-PG,"International TV Shows, TV Dramas",1,2
67,Dad Stop Embarrassing Me!,TV-14,TV Comedies,1,2
68,Fate: The Winx Saga,TV-MA,"British TV Shows, International TV Shows, TV Dramas",1,2
69,Angamaly Diaries,TV-14,"Action & Adventure, Comedies, Dramas",128,1
70,House of Cards,TV-MA,"TV Dramas, TV Thrillers",6,2
71,Indian Matchmaking,TV-14,"Reality TV, Romantic TV Shows",1,2
72,Jeffrey Epstein: Filthy Rich,TV-MA,"Crime TV Shows, Docuseries",1,2
73,Law School,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",1,2
74,Living with Yourself,TV-MA,"TV Comedies, TV Dramas",1,2
75,Signal,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",1,2
76,Slasher,TV-MA,"TV Horror, TV Mysteries, TV Thrillers",3,2
77,The Soul,TV-MA,"Dramas, International Movies, Thrillers",130,1
78,The Underclass,TV-MA,"International TV Shows, TV Dramas, Teen TV Shows",1,2
79,Unnatural Selection,TV-MA,"Docuseries, Science & Nature TV",1,2
80,Bunkd,TV-G,"Kids TV, TV Comedies",5,2
81,Uppena,TV-14,"Dramas, International Movies, Romantic Movies",145,1
82,Why Did You Kill Me?,TV-MA,Documentaries,84,1
83,Motu Patlu in Hong Kong: Kung Fu Kings 3,TV-Y7,"Children & Family Movies, Music & Musicals",84,1
84,Motu Patlu in the City of Gold,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",77,1
85,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,TV-Y7,"Children & Family Movies, Music & Musicals",86,1
86,Motu Patlu the Superheroes – Super Villains from Mars,TV-Y7,Children & Family Movies,79,1
87,My Love: Six Stories of True Love,TV-PG,Docuseries,1,2
88,Shiva VS Autobots,TV-Y7,Children & Family Movies,80,1
89,Shiva: Journey to Plunotaria,TV-Y7,Children & Family Movies,81,1
90,Shiva: The Secret World Of Vedas City,TV-Y,Children & Family Movies,78,1
91,A Champion Heart,G,"Children & Family Movies, Dramas",90,1
92,The Baker and the Beauty,TV-PG,"Romantic TV Shows, TV Comedies, TV Dramas",1,2
93,New Gods: Nezha Reborn,TV-14,"Action & Adventure, Anime Features, International Movies",118,1
94,"Nicky, Ricky, Dicky & Dawn",TV-G,"Kids TV, TV Comedies",4,2
