fk_id_show_catalog,fk_id_country
1,1
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,1
18,6
19,9
20,10
21,1
22,11
23,11
24,11
25,1
26,12
27,11
28,11
29,11
30,11
31,1
32,4
33,1
34,13
35,4
36,4
37,1
38,14
39,15
40,16
41,17
42,1
43,18
44,1
45,11
46,4
47,4
48,1
49,19
50,19
51,1
52,1
53,19
54,1
55,1
56,20
57,21
58,16
59,22
60,19
61,19
62,1
63,1
64,4
65,1
66,4
67,1
68,23
69,11
70,1
71,24
72,1
73,16
74,1
75,16
76,25
77,26
78,27
79,1
80,1
81,11
82,1
83,4
84,4
85,4
86,4
87,28
88,4
89,4
90,4
91,1
92,29
93,30
94,1
95,4
96,1
97,30
98,16
99,31
100,11
101,1
102,8
103,1
104,32
105,19
106,4
107,11
108,4
109,4
110,4
111,33
112,11
113,4
114,34
115,35
116,1
117,36
118,1
119,30
120,36
121,37
122,1
123,31
124,11
125,4
126,38
127,39
128,40
129,1
130,1
131,11
132,11
133,4
134,41
135,36
136,42
137,36
138,43
139,1
140,11
141,44
142,1
143,45
144,1
145,1
146,1
147,4
148,45
149,4
150,19
151,4
152,1
153,46
154,1
155,32
156,47
157,48
158,4
159,1
160,1
161,11
162,1
163,1
164,49
165,50
166,51
167,45
168,16
169,11
170,19
171,1
172,22
173,1
174,52
175,1
176,31
177,1
178,1
179,1
180,53
181,4
182,54
183,45
184,55
185,34
186,34
187,11
188,45
189,7
190,1
191,11
192,19
193,56
194,1
195,57
196,16
197,16
198,58
199,19
200,59
201,1
202,37
203,46
204,4
205,1
206,45
207,4
208,30
209,31
210,19
211,1
212,60
213,11
214,1
215,37
216,1
217,61
218,4
219,31
220,1
221,62
222,37
223,15
224,4
225,4
226,1
227,1
228,63
229,11
230,64
231,1
232,49
233,45
234,4
235,55
236,8
237,65
238,16
239,55
240,55
241,1
242,4
243,55
244,55
245,45
246,1
247,4
248,55
249,66
250,32
251,1
252,39
253,4
254,4
255,15
256,11
257,67
258,68
259,63
260,11
261,1
262,69
263,31
264,34
265,4
266,39
267,32
268,70
269,4
270,1
271,1
272,1
273,1
274,1
275,11
276,1
277,4
278,4
279,1
280,16
281,4
282,4
283,49
284,15
285,1
286,1
287,4
288,71
289,19
290,72
291,1
292,1
293,34
294,73
295,4
296,74
297,1
298,11
299,75
300,15
301,76
302,11
303,32
304,76
305,4
306,1
307,19
308,1
309,1
310,4
311,1
312,1
313,36
314,25
315,45
316,11
317,11
318,1
319,77
320,16
321,59
322,45
323,1
324,4
325,4
326,37
327,11
328,78
329,11
330,15
331,11
332,16
333,1
334,16
335,79
336,3
337,4
338,1
339,45
340,1
341,1
342,1
343,11
344,1
345,1
346,45
347,4
348,1
349,1
350,31
351,45
352,1
353,1
354,34
355,11
356,45
357,1
358,1
359,6
360,80
361,6
362,34
363,32
364,1
365,81
366,82
367,1
368,1
369,4
370,39
371,1
372,1
373,1
374,83
375,30
376,1
377,39
378,84
379,34
380,85
381,60
382,59
383,1
384,16
385,1
386,7
387,30
388,82
389,86
390,1
391,51
392,69
393,1
394,6
395,1
396,1
397,25
398,1
399,1
400,45
401,1
402,87
403,88
404,14
405,1
406,89
407,1
408,1
409,39
410,90
411,1
412,34
413,91
414,1
415,45
416,1
417,32
418,55
419,1
420,1
421,11
422,1
423,92
424,92
425,31
426,49
427,4
428,4
429,25
430,16
431,19
432,93
433,21
434,94
435,1
436,1
437,95
438,1
439,6
440,1
441,1
442,1
443,1
444,96
445,74
446,4
447,1
448,1
449,1
450,1
451,1
452,60
453,1
454,97
455,1
456,98
457,36
458,99
459,1
460,11
461,1
462,16
463,32
464,32
465,1
466,1
467,100
468,4
469,101
470,45
471,1
472,39
473,11
474,11
475,102
476,1
477,11
478,45
479,103
480,3
481,11
482,1
483,55
484,34
485,32
486,104
487,105
488,4
489,1
490,39
491,1
492,1
493,106
494,11
495,4
496,1
497,1
498,107
499,1
500,36
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,45
513,1
514,1
515,6
516,1
517,4
518,108
519,1
520,1
521,1
522,109
523,16
524,1
525,1
526,1
527,4
528,11
529,1
530,32
531,32
532,1
533,1
534,110
535,4
536,7
537,45
538,59
539,4
540,16
541,1
542,36
543,1
544,111
545,112
546,4
547,11
548,25
549,11
550,1
551,14
552,1
553,32
554,32
555,14
556,1
557,4
558,1
559,1
560,59
561,1
562,1
563,16
564,38
565,1
566,113
567,45
568,45
569,1
570,1
571,49
572,63
573,45
574,1
575,57
576,1
577,107
578,1
579,4
580,114
581,115
582,11
583,115
584,115
585,69
586,25
587,32
588,14
589,38
590,16
591,1
592,14
593,1
594,4
595,60
596,4
597,116
598,57
