fk_id_show_catalog,fk_id_director
1,1
10,2
100,3
1000,4
1001,5
1002,6
1003,7
1004,3
1005,3
1006,3
1007,8
1008,8
1009,8
101,3
1010,9
1011,3
1012,3
1013,3
1014,10
1015,3
1016,11
1017,12
1018,13
1019,14
102,15
1020,16
1021,17
1022,18
1023,19
1024,20
1025,21
1026,3
1027,22
1028,23
1029,3
103,24
1030,25
1031,26
1032,27
1033,3
1034,28
1035,29
1036,30
1037,31
1038,32
1039,3
104,33
1040,34
1041,3
1042,35
1043,36
1044,3
1045,3
1046,3
1047,37
1048,3
1049,3
105,3
1050,3
1051,38
1052,3
1053,39
1054,40
1055,41
1056,42
1057,3
1058,3
1059,3
106,43
1060,3
1061,3
1062,3
1063,3
1064,3
1065,3
1066,3
1067,44
1068,45
1069,3
107,3
1070,46
1071,47
1072,8
1073,8
1074,8
1075,8
1076,48
1077,8
1078,8
1079,8
108,49
1080,3
1081,50
1082,3
1083,3
1084,51
1085,3
1086,52
1087,53
1088,54
1089,55
109,3
1090,56
1091,57
1092,3
1093,3
1094,3
1095,3
1096,3
1097,58
1098,59
1099,60
11,3
110,3
1100,61
1101,62
1102,63
1103,64
1104,65
1105,66
1106,67
1107,68
1108,69
1109,70
111,71
1110,72
1111,73
1112,74
1113,75
1114,76
1115,77
1116,78
1117,3
1118,79
1119,80
112,3
1120,81
1121,82
1122,83
1123,84
1124,3
1125,85
1126,3
1127,86
1128,3
1129,87
113,88
1130,3
1131,89
1132,89
1133,89
1134,90
1135,91
1136,92
1137,93
1138,94
1139,95
114,96
1140,97
1141,98
1142,99
1143,100
1144,3
1145,101
1146,102
1147,103
1148,104
1149,3
115,105
1150,3
1151,106
1152,107
1153,3
1154,108
1155,109
1156,110
1157,111
1158,3
1159,3
116,112
1160,113
1161,114
1162,3
1163,115
1164,3
1165,116
1166,117
1167,3
1168,118
1169,3
117,119
1170,3
1171,120
1172,121
1173,122
1174,123
1175,3
1176,124
1177,125
1178,126
1179,127
118,128
1180,3
1181,3
1182,3
1183,3
1184,129
1185,130
1186,131
1187,3
1188,132
1189,133
119,134
1190,135
1191,136
1192,137
1193,138
1194,41
1195,139
1196,140
1197,141
1198,142
1199,143
12,144
120,145
1200,146
1201,3
1202,3
1203,147
1204,148
1205,149
1206,3
1207,3
1208,150
1209,151
121,3
1210,152
1211,3
1212,153
1213,154
1214,3
1215,155
1216,156
1217,157
1218,3
1219,158
122,3
1220,159
1221,160
1222,161
1223,162
1224,163
1225,3
1226,3
1227,3
1228,3
1229,164
123,112
1230,3
1231,165
1232,3
1233,166
1234,167
1235,168
1236,3
1237,169
1238,170
1239,3
124,3
1240,171
1241,172
1242,173
1243,174
1244,175
1245,176
1246,3
1247,177
1248,89
1249,178
125,3
1250,179
1251,180
1252,181
1253,182
1254,183
1255,184
1256,89
1257,185
1258,3
1259,186
126,3
1260,187
1261,188
1262,189
1263,3
1264,190
1265,191
1266,192
1267,189
1268,193
1269,3
127,194
1270,195
1271,3
1272,3
1273,3
1274,196
1275,3
1276,3
1277,197
1278,3
1279,135
128,198
1280,199
1281,200
1282,201
1283,3
1284,80
1285,80
1286,3
1287,202
1288,3
1289,203
129,204
1290,205
1291,206
1292,207
1293,208
1294,209
1295,3
1296,210
1297,3
1298,211
1299,3
13,212
130,172
1300,3
1301,3
1302,3
1303,3
1304,213
1305,214
1306,215
1307,3
1308,216
1309,3
131,217
1310,218
1311,3
1312,219
1313,220
1314,3
1315,3
1316,221
1317,222
1318,3
1319,223
132,224
1320,225
1321,3
1322,3
1323,226
1324,227
1325,228
1326,229
1327,230
1328,228
1329,231
133,3
1330,232
1331,233
1332,3
1333,3
1334,234
1335,235
1336,3
1337,236
1338,237
1339,3
134,238
1340,3
1341,239
1342,240
1343,241
1344,242
1345,243
